barcode,name,price,quantity,qty_unit,computed_unit_price,computed_unit_label,has_promo,PromotionIds,RewardTypes,AnyGift,AnyMulti,manufacturer,country,description,price_update_date
7290018439708,נוטריקר דורמנדו 30 כמוסות,171.9,30.0,,,,False,,,,,מרשל,ישראל,דורמנדו,2025-04-28
7290012485817,"נוטריקר ויטמין C 500 מ""ג עם סמבוק שחור90",90.9,90.0,,,,False,,,,,מרשל,ישראל,"ויטמין סי 500 מ""ג עם סמבוק שחור",2025-04-28
7290017490311,נוטריקר ויטמין D 1000 יחבל 15 מל,40.9,15.0,,,,False,,,,,מרשל,ישראל,"טיפות שמן ויטמין D3 1000 יחב""ל",2025-04-28
7290018439623,נוטריקר ויטמין די-1000 יח 90 כמוסות רכות,43.9,90.0,,,,False,,,,,מרשל,ישראל,"ויטמין D3 לבליעה 1000 יחב""ל",2025-04-28
7290013571106,נוטריקר ולריאן כמוסות,97.9,60.0,,,,False,,,,,מרשל,,כמוסות ולריאן,2025-04-28
7290011291068,נוטריקר ולריאן תמצית,70.9,0.0,,,,False,,,,,מרשל,,תמצית ולריאן,2025-04-28
7290018439340,"נוטריקר חומצה אלפא ליפואית 600 מ""ג 60 קפ",141.9,60.0,,,,False,,,,,מרשל,ישראל,"חומצה אלפא ליפואית 600 מ""ג",2025-04-28
7290014981966,נוטריקר ל-ליזין 500 מג 100 טבליות,100.9,100.0,,,,False,,,,,מרשל,ישראל,"נוטריקר ל-ליזין 500 מ""ג",2025-04-28
7290014465756,נוטריקר לקסי קר תמצית 50 מל,70.9,50.0,,,,False,,,,,מרשל,,,2025-04-28
7290010700868,"נוטריקר מאקה 500 מ""ג 60 כמוסות",82.9,60.0,,,,False,,,,,מרשל,ארצות הברית,"צמח-מאקה 500 מ""ג",2025-04-28
7290001065662,נוטריקר מגנזיום 520  100 כמוסות,100.9,100.0,,,,False,,,,,מרשל,ישראל,מגנזיום 520,2025-04-28
7290018439043,נוטריקר מגנזיום WELL           כמוסות 90,139.9,90.0,,,,True,4257520,3,0,1,מרשל,ארצות הברית,מגנזיום WELL,2025-04-28
7290001066782,נוטריקר מגנזיום ביס גליצינאט+ B6 ואבץ 60,79.9,60.0,,,,False,,,,,מרשל,ארצות הברית,מגנזיום ביס גליצינאט בתוספת אבץ וויטמין B6,2025-07-07
7290018439579,נוטריקר מגנזיום טאוראט 90 כמוסות,161.9,90.0,,,,False,,,,,מרשל,ארצות הברית,מגנזיום טאוראט,2025-04-28
7290014465268,נוטריקר מורינגה 100 כמוסות,120.9,0.0,,,,False,,,,,מרשל,,מורינגה,2025-04-28
7290013571441,נוטריקר מיד לייף באלאנס 60 כמוסות,138.9,0.0,,,,False,,,,,מרשל,ישראל,מיד לייף באלאנס,2025-04-28
