PriceUpdateDate,ItemCode,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,blsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus
2025-06-01,3380810258240,מיי קלרינס מסיכת לילה מרגיעה 50 מל,אלפא,צרפת,RE-CHARGE מסיכת לילה מרגיעה,מיליליטר,50.00,"100 מ""ל",0,1.00,181.00,0.03,1,0
2025-04-09,8700216188746,ונוס מכשיר גילוח קומפורט גלייד סנסיטיב,דיפלומט,סין,מכשיר גילוח קומפורט גלייד סנסיטיב,,0.00,0.00,0,1.00,47.90,47.90,1,0
2025-04-20,7290012979217,דר עור סבו קרם לחות לעור רגיש ואדמומי,ניאופארם,,סבו-עור קרם לחות לעור רגיש אדמומי ומגורה,מיליליטר,75.00,"100 מ""ל",0,1.00,100.90,0.01,1,0
2025-06-19,7290113822870,לייף לק IL 209,General,לוקסמבורג,לק IL 209,,1.00,0.00,0,1.00,11.90,11.90,1,0
2025-04-09,7290015596831,ד.פישר אפקטיב קר קרם גוף מועשר בשמן אבוק,מדי פישר,ישראל,קרם גוף מועשר בשמן אבוקדו,מיליליטר,450.00,"100 מ""ל",0,1.00,30.90,0.00,1,0
2025-04-09,7290016197600,דיפנד תחבושות לנשים לבריחת שתן - נורמל,General,וייטנאם,תחבושות לבריחת שתן - נורמל,,12.00,0.00,0,1.00,22.90,1.90,1,0
2025-07-17,887167142534,אסתי לאודר נייט וור קרם לילה 50 מל,אלקליל,ארצות הברית,NIGHTWEAR PLUS קרם לילה,מיליליטר,50.00,"100 מ""ל",0,1.00,330.00,0.06,1,0
2025-04-09,7290004731816,סנו סושי מגבות אריזת שמינייה,החברה הדרומית,ישראל,מגבות נייר,מטרים,84.64,100 מטר,0,1.00,19.90,0.00,1,0
2025-06-10,7290110456122,גייד סידאולוגי קרם עיניים להפחתת סימני ע,דניה,ישראל,SEEDOLOGY קרם עיניים להפחתת סימני עייפות,מיליליטר,15.00,"100 מ""ל",0,1.00,150.00,0.10,1,0
2025-04-20,7290111096181,דר עור סרום אנטי אייגינג RENEW OR,ניאופארם,ישראל,סרום לצמצום קמטים RENEW OR,מיליליטר,30.00,"100 מ""ל",0,1.00,201.90,0.06,1,0
2025-08-11,7290000190198,ניקול מטליות לחות לניקוי וחיטוי אמבט 50,חוגלה,,מטליות לחות לניקוי וחיטוי חדרי אמבטיה ושירותים,,50.00,0.00,0,1.00,14.90,0.29,1,0
